segment_id,s_center,centerline_x,centerline_y,psi_center,kappa_signed_centerline,kappa_abs_centerline,width,d_left,d_right,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_bd_idx,right_bd_idx,mean_curvature_30,max_curvature_30,straight_indicator_30,compound_indicator_30,accum_heading_change_30
0,0.0,-65.1252346866365,45.03366933023841,-1.6949043023578068,-3.412112152023606,3.412112152023606,0.7862371437919268,0.09566745463805715,0.6905696891538696,-64.74319915502446,47.32327686452256,-64.43796304659537,44.964324186191774,1989,1999,0.14205295314497857,3.412112152023606,0.5,0.2222222222222222,3.507493359783025
1,0.8230483262588456,-65.05416905976779,44.215249481372275,-1.3878114548840226,0.25797030896873757,0.25797030896873757,4.2901352749885096,0.11253883064591763,4.177596444342592,-65.38563720316493,46.624900133120946,-60.94644187009601,44.97609759454852,1993,15,0.02837926850026407,0.25797030896873757,0.5,0.15,0.7007252831877815
2,1.6460966525176912,-64.82756030712893,43.425096191715745,-1.2702602403154133,0.08429983881780066,0.08429983881780066,0.865338820444685,0.07742177074622414,0.7879170496984609,-65.63247683312247,46.28377157747129,-64.0668164850116,43.63207137947006,1995,1994,0.019843626701135694,0.10349763233714775,0.5,0.13333333333333333,0.4899679122982521
3,2.4691449787765367,-64.56728957359222,42.644283991105546,-1.24904577239826,0.012887741363621464,0.012887741363621464,5.037189153541149,0.14038166646988826,4.8968074870712615,-65.63247683312247,46.28377157747129,-59.9097517348729,44.15673539745829,1995,20,0.017091954783683784,0.10349763233714775,0.5,0.11666666666666667,0.42202514331608415
4,3.2921933050353824,-64.30701884005548,41.863471790495346,-1.2490457723982422,5.800338635749538e-15,5.800338635749538e-15,0.9197010135618188,0.14038166646995665,0.7793193470918621,-65.63247683312247,46.28377157747129,-63.53892937546298,42.023627558163454,1995,1987,0.016695813051254872,0.10349763233714775,0.5,0.11666666666666667,0.4122438296209774
5,4.115241631294228,-64.04674810651873,41.082659589885154,-1.2490457723982504,-1.2410026848580406e-14,1.2410026848580406e-14,0.9553684750484693,0.14038166646991068,0.8149868085785587,-65.63247683312247,46.28377157747129,-63.30239066772749,41.42680185161131,1995,1984,0.016719603433286503,0.10349763233714775,0.4666666666666667,0.11666666666666667,0.41283124864434323
6,4.938289957553073,-63.786477372982006,40.301847389274954,-1.2490457723982626,-4.856097462487985e-15,4.856097462487985e-15,1.561513808639789,0.781969236701588,0.7795445719382011,-64.50079858275052,39.97200717042014,-63.030023489645906,40.49762212421235,23,1980,0.016882539624562824,0.10349763233714775,0.43333333333333335,0.11666666666666667,0.41685437942985226
7,5.761338283811919,-63.526206639445284,39.52103518866476,-1.2490457723982584,4.1816394815868765e-15,4.1816394815868765e-15,1.5597933436549893,0.7552333967947166,0.8045599468602727,-64.21409008380928,39.19642782285974,-62.777213073951096,39.818296438404694,26,1977,0.01699979466701018,0.10349763233714775,0.4,0.11666666666666667,0.4197495764228033
8,6.584386610070765,-63.26593590590855,38.74022298805456,-1.2490457723982558,2.4280487312439925e-15,2.4280487312439925e-15,1.5823024446307032,0.790376181653503,0.7919262629772001,-64.01220644176941,38.47964565326508,-62.4832900475482,38.89657614288695,29,1973,0.017006545880668387,0.10349763233714775,0.36666666666666664,0.11666666666666667,0.41991627367585144
9,7.407434936329611,-63.00566517237182,37.95941078744436,-1.2490457723982544,8.093495770813309e-16,8.093495770813309e-16,1.5665498968731195,0.7715500985791747,0.794999798293945,-63.75934677226492,37.780599946686024,-62.25108981127405,38.20969480613436,32,1970,0.01708820600383634,0.10349763233714775,0.3333333333333333,0.11666666666666667,0.4219325805067158
10,8.230483262588455,-62.745394438835085,37.17859858683417,-1.2490457723982544,2.4280487312439925e-15,2.4280487312439925e-15,1.5482825934111037,0.7591598204995936,0.78912277291151,-63.43420494184958,36.84435595501435,-62.02723117923724,37.51953412394883,36,1967,0.017200367463721535,0.10349763233714775,0.3,0.11666666666666667,0.4247020095615935
11,9.053531588847301,-62.485123705298356,36.39778638622397,-1.2490457723982504,2.4280487312439925e-15,2.4280487312439925e-15,1.5704541153553149,0.7841007961097416,0.7863533192455733,-63.22266614269798,36.13086926756477,-61.724013810296505,36.601124235667946,39,1963,0.017245663227833958,0.10349763233714775,0.26666666666666666,0.11666666666666667,0.4258204276467739
12,9.876579915106147,-62.224852971761614,35.61697418561378,-1.2490457723982504,-5.800338635749538e-15,5.800338635749538e-15,1.5787751023023637,0.7755040558038068,0.8032710464985569,-62.97947204864294,35.428472265219405,-61.4790140370167,35.91962346678149,42,1960,0.017246527685329027,0.10349763233714775,0.23333333333333334,0.11666666666666667,0.425841772355607
13,10.699628241364993,-61.964582238224885,34.83616198500358,-1.24904577239826,-5.800338635749538e-15,5.800338635749538e-15,1.5417068942225123,0.7631147167405101,0.7785921774820022,-62.65434171396545,34.49225979133104,-61.222487860053654,35.072003499723074,46,1956,0.0173007363428183,0.10349763233714775,0.2,0.11666666666666667,0.42718026270006554
14,11.522676567623838,-61.70431150468816,34.05534978439338,-1.24904577239826,4.1816394815868765e-15,4.1816394815868765e-15,1.5916631984303866,0.7778399023534317,0.8138232960769549,-62.43314955565738,33.78211819090124,-60.959967359608264,34.39585257766245,49,1953,0.017451311954672186,0.10349763233714775,0.16666666666666666,0.11666666666666667,0.4308981928594178
15,12.345724893882684,-61.44404077115143,33.27453758378318,-1.249045772398253,3.7769646930462105e-15,3.7769646930462105e-15,1.5602077872293603,0.7794855159920326,0.7807222712373276,-62.199618294551165,33.07632052033596,-60.68536876703374,33.46738216855982,52,1949,0.0174637070478997,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4312042456814596
16,13.16877322014153,-61.18377003761469,32.49372538317299,-1.2490457723982538,-2.023373942703327e-15,2.023373942703327e-15,1.5706142683105666,0.767097669172504,0.8035165991380627,-61.87449983855527,32.14013896360329,-60.43465789056917,32.78733153306519,56,1946,0.017540355436582552,0.10349763233714775,0.1,0.11666666666666667,0.43309680552193536
17,13.991821546400375,-60.923499304077964,31.71291318256279,-1.2490457723982564,2.023373942703327e-15,2.023373942703327e-15,1.5648382722661118,0.771594082552512,0.7932441897135998,-61.64365730264606,31.43339244829316,-60.13851474164714,31.86641787546001,59,1942,0.01757470870400678,0.10349763233714775,0.06666666666666667,0.11666666666666667,0.4339450374995864
18,14.814869872659221,-60.66322857054123,30.93210098195259,-1.2490457723982504,1.2140243656219963e-15,1.2140243656219963e-15,1.5775777490386216,0.7834940688975723,0.7940836801410492,-61.41978496475633,30.72414437364868,-59.90840119382678,31.178731933823588,62,1939,0.017596986441700428,0.10349763233714775,0.06666666666666667,0.11666666666666667,0.4344951071412342
19,15.637918198918067,-60.40295783700449,30.151288781342398,-1.2490457723982544,-0.002328270287599873,0.002328270287599873,1.5472672643037158,0.7567125092406842,0.7905547550630315,-61.15947814155997,30.027914631867063,-59.68235269587539,30.48942699903079,65,1936,0.017645513425577915,0.10349763233714775,0.1,0.11666666666666667,0.4356933087269968
