segment_id,mean_curvature_30,max_curvature_30,straight_indicator_30,compound_indicator_30,accum_heading_change_30
0,0.14205295314497857,3.412112152023606,0.5,0.2222222222222222,3.507493359783025
1,0.02837926850026407,0.25797030896873757,0.5,0.15,0.7007252831877815
2,0.019843626701135694,0.10349763233714775,0.5,0.13333333333333333,0.4899679122982521
3,0.017091954783683784,0.10349763233714775,0.5,0.11666666666666667,0.42202514331608415
4,0.016695813051254872,0.10349763233714775,0.5,0.11666666666666667,0.4122438296209774
5,0.016719603433286503,0.10349763233714775,0.4666666666666667,0.11666666666666667,0.41283124864434323
6,0.016882539624562824,0.10349763233714775,0.43333333333333335,0.11666666666666667,0.41685437942985226
7,0.01699979466701018,0.10349763233714775,0.4,0.11666666666666667,0.4197495764228033
8,0.017006545880668387,0.10349763233714775,0.36666666666666664,0.11666666666666667,0.41991627367585144
9,0.01708820600383634,0.10349763233714775,0.3333333333333333,0.11666666666666667,0.4219325805067158
10,0.017200367463721535,0.10349763233714775,0.3,0.11666666666666667,0.4247020095615935
11,0.017245663227833958,0.10349763233714775,0.26666666666666666,0.11666666666666667,0.4258204276467739
12,0.017246527685329027,0.10349763233714775,0.23333333333333334,0.11666666666666667,0.425841772355607
13,0.0173007363428183,0.10349763233714775,0.2,0.11666666666666667,0.42718026270006554
14,0.017451311954672186,0.10349763233714775,0.16666666666666666,0.11666666666666667,0.4308981928594178
15,0.0174637070478997,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4312042456814596
16,0.017540355436582552,0.10349763233714775,0.1,0.11666666666666667,0.43309680552193536
17,0.01757470870400678,0.10349763233714775,0.06666666666666667,0.11666666666666667,0.4339450374995864
18,0.017596986441700428,0.10349763233714775,0.06666666666666667,0.11666666666666667,0.4344951071412342
19,0.017645513425577915,0.10349763233714775,0.1,0.11666666666666667,0.4356933087269968
20,0.017587096997523165,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.43425092242690244
21,0.017476466246869337,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4315192888021507
22,0.017339768716170722,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4281440285867943
23,0.01630593332152884,0.10349763233714775,0.13333333333333333,0.1,0.4026171338511796
24,0.014352708801302995,0.10349763233714775,0.13333333333333333,0.08333333333333333,0.354389188685791
25,0.011562716700277352,0.10349763233714775,0.13333333333333333,0.06666666666666667,0.28550023881505426
26,0.008504348831519116,0.09840956284776965,0.13333333333333333,0.05,0.20998470215109533
27,0.006286383509970114,0.06737811024792696,0.13333333333333333,0.3,0.1552199227830633
28,0.0070540481965189325,0.0904080508443915,0.13333333333333333,0.3,0.17417467684482407
29,0.011714234233945254,0.16345755976195697,0.13333333333333333,0.05,0.2892414263895814
30,0.017420974606391516,0.17572694252377474,0.13333333333333333,0.06666666666666667,0.43014911974765163
31,0.02202887511829447,0.17572694252377474,0.13333333333333333,0.08333333333333333,0.5439248638643217
32,0.0257586099099384,0.17572694252377474,0.13333333333333333,0.1,0.6360174231938793
33,0.029418451181503564,0.17572694252377474,0.13333333333333333,0.11666666666666667,0.726384210181922
34,0.033193089233106196,0.17572694252377474,0.13333333333333333,0.13333333333333333,0.8195854961000568
35,0.03686968885308523,0.17572694252377474,0.13333333333333333,0.15,0.9103660710064865
36,0.04062698255243049,0.17572694252377474,0.13333333333333333,0.16666666666666666,1.003139099721757
37,0.04447108896809427,0.17572694252377474,0.13333333333333333,0.18333333333333332,1.098055660262946
38,0.04808971091299611,0.17572694252377474,0.13333333333333333,0.2,1.1874046823163955
39,0.052544262755184055,0.17572694252377474,0.13333333333333333,0.21666666666666667,1.2973940254547767
40,0.061460767401717686,0.2708599831925658,0.13333333333333333,0.23333333333333334,1.517555452217039
41,0.07450023983256648,0.3925430458488391,0.13333333333333333,0.25,1.8395189310022928
42,0.08644756630677017,0.3925430458488391,0.13333333333333333,0.26666666666666666,2.1345157427381327
43,0.09553555550529845,0.3925430458488391,0.13333333333333333,0.2833333333333333,2.358911371705348
44,0.10265373620442461,0.3925430458488391,0.13333333333333333,0.3,2.5346695730180624
45,0.11202903196574682,0.3925430458488391,0.13333333333333333,0.31666666666666665,2.7661592175541987
46,0.12718283421293422,0.4569135190761111,0.13333333333333333,0.3333333333333333,3.1403285648343524
47,0.14329428937803648,0.4843742529757974,0.1,0.35,3.5381437510513085
48,0.15495488492432993,0.4843742529757974,0.06666666666666667,0.36666666666666664,3.8260607604780525
49,0.1632503768587005,0.4843742529757974,0.03333333333333333,0.38333333333333336,4.030888483040377
50,0.16942333486953415,0.4843742529757974,0.03333333333333333,0.4,4.18330776580686
51,0.17087473088211416,0.4843742529757974,0.03333333333333333,0.4166666666666667,4.2191448375736424
52,0.1756989763539367,0.4843742529757974,0.03333333333333333,0.45333333333333337,4.338262452405003
53,0.18459985334025053,0.4843742529757974,0.03333333333333333,0.46923076923076923,4.558038009579647
54,0.19610329997574777,0.4843742529757974,0.0,0.48518518518518516,4.842074784566265
55,0.20900874007064896,0.4843742529757974,0.0,0.5011904761904762,5.160728810658531
56,0.21990729981304544,0.4843742529757974,0.0,0.5172413793103449,5.429830051296874
57,0.22741377891675552,0.4843742529757974,0.0,0.5172413793103449,5.6151759031690425
58,0.23151958289185298,0.4843742529757974,0.0,0.5172413793103449,5.716554155858569
