x,y,s
-65.1252346866365,45.03366933023841,0.0
-65.1252346866365,44.78645745214669,0.24721187809171852
-65.09936899979819,44.540678148693516,0.4943484795119578
-65.06958935186043,44.29539032374612,0.7414374199741356
-65.02293195422172,44.05290703437184,0.988368702682881
-64.95748055921909,43.814856947986215,1.235252741729544
-64.87930529927732,43.58033116816088,1.4824646198212819
-64.80113003933555,43.34580538833556,1.7296764979130062
-64.72295477939377,43.11127960851023,1.976888376004744
-64.644779519452,42.8767538286849,2.224100254096482
-64.56660425951023,42.64222804885958,2.4713121321882063
-64.48842899956844,42.40770226903426,2.718524010279935
-64.41025373962667,42.17317648920893,2.965735888371673
-64.3320784796849,41.938650709383595,3.212947766463411
-64.25390321974312,41.704124929558276,3.4601596445551355
-64.17572795980135,41.46959914973294,3.7073715226468735
-64.09755269985956,41.235073369907624,3.9545834007386023
-64.01937743991779,41.000547590082306,4.2017952788303266
-63.94120217997602,40.76602181025697,4.449007156922065
-63.863026920034244,40.531496030431626,4.696219035013816
-63.784851660092464,40.29697025060632,4.943430913105529
-63.70667640015069,40.06244447078099,5.190642791197267
-63.62850114020892,39.827918690955656,5.437854669289005
-63.550325880267145,39.59339291113035,5.685066547380716
-63.472150620325365,39.358867131305004,5.932278425472469
-63.39397536038359,39.124341351479686,6.179490303564194
-63.31580010044181,38.88981557165437,6.42670218165592
-63.23762484050004,38.655289791829034,6.673914059747658
-63.15944958055827,38.4207640120037,6.921125937839396
-63.081274320616494,38.18623823217838,7.168337815931121
-63.003099060674714,37.95171245235305,7.415549694022861
-62.92492380073294,37.71718667252773,7.662761572114586
-62.84674854079116,37.48266089270241,7.909973450206312
-62.76857328084939,37.24813511287708,8.15718532829805
-62.690398020907615,37.01360933305175,8.404397206389788
-62.612222760965835,36.77908355322643,8.651609084481516
-62.53404750102406,36.544557773401095,8.898820962573254
-62.45587224108229,36.31003199357578,9.146032840664978
-62.37769698114052,36.07550621375046,9.393244718756701
-62.29952172119874,35.840980433925125,9.640456596848441
-62.22134646125696,35.60645465409981,9.887668474940169
-62.143171201315184,35.371928874274474,10.134880353031907
-62.06499594137342,35.13740309444914,10.382092231123643
-61.98682068143164,34.90287731462384,10.629304109215356
-61.908645421489865,34.668351534798504,10.876515987307094
-61.830470161548085,34.43382575497317,11.123727865398834
-61.75229490160631,34.19929997514785,11.370939743490558
-61.67411964166454,33.96477419532252,11.618151621582296
-61.59594438172276,33.7302484154972,11.865363499674023
-61.51776912178099,33.49572263567188,12.112575377765747
-61.439593861839214,33.261196855846535,12.359787255857498
-61.36141860189744,33.02667107602123,12.60699913394921
-61.28324334195567,32.7921452961959,12.854211012040947
-61.20506808201389,32.55761951637058,13.101422890132675
-61.12689282207211,32.32309373654526,13.348634768224402
-61.048717562130335,32.08856795671993,13.59584664631614
-60.97054230218856,31.854042176894595,13.843058524407878
-60.89236704224679,31.619516397069276,14.090270402499602
-60.814191782305016,31.384990617243943,14.33748228059134
-60.736016522363244,31.15046483741864,14.584694158683051
-60.657841262421464,30.915939057593306,14.831906036774791
-60.579666002479684,30.681413277767973,15.079117914866531
-60.50149074253791,30.446887497942654,15.326329792958255
-60.42331548259614,30.212361718117336,15.573541671049979
-60.345140222654365,29.977835938292003,15.820753549141717
-60.26696496271259,29.74331015846667,16.067965427233453
-60.18878970277081,29.50878437864135,16.31517730532518
-60.11061444282904,29.274258598816033,16.562389183416904
-60.03243918288726,29.0397328189907,16.809601061508644
-59.954263922945486,28.80520703916538,17.05681293960037
-59.88270551971259,28.568848496133327,17.303766307541522
-59.811147116479674,28.332489953101287,17.550719675482664
-59.739588713246775,28.096131410069233,17.797673043423817
-59.661413453305,27.861605630243922,18.044884921515536
-59.576837868212806,27.629562208300655,18.291860991734552
-59.49226228312061,27.397518786357388,18.53883706195357
-59.40768669802841,27.165475364414128,18.78581313217258
-59.3231111129362,26.93343194247086,19.0327892023916
-59.23853552784401,26.7013885205276,19.27976527261061
-59.1392534291826,26.47504900096714,19.52692213217448
-59.04501623789382,26.246752820567366,19.7739034962632
-58.94302865054063,26.021638465265852,20.021043013412804
-58.82863150306024,25.80271359980115,20.26805476226372
-58.70857480196159,25.586611537823593,20.515266640355453
-58.588518100862956,25.370509475846028,20.762478518447185
-58.46306247722099,25.157699353290496,21.009515482817896
-58.32825103284251,24.950593849547424,21.25663248995436
-58.19112255555581,24.744901133617397,21.50384436804609
