x,y
-66.09834926006752,45.21902448708242
-66.02627861889208,45.04702477931406
-66.02623490691433,44.785511878282406
-65.99079296761202,44.613501908662656
-65.90378093008076,44.38109599970126
-65.84207260774049,44.13995298241153
-65.77399215979653,43.90081607001184
-65.70912887599997,43.66081628340345
-65.66990169396236,43.50090083608006
-65.60492675381363,43.26015472868681
-65.51933285776244,43.028134947465034
-65.42211126572609,42.80105234338101
-65.34517849190578,42.565370277888455
-65.28019833849659,42.324610969835966
-65.21521654554418,42.08384780101221
-65.1248831117275,41.85385236382639
-65.02767443406398,41.626794232644826
-64.95548455744974,41.38908968936913
-64.89049732517637,41.14831307707927
-64.82550861577126,40.907533038986685
-64.73044130515977,40.67957348544886
-64.6332458318266,40.45253993582472
-64.56579295747231,40.21280088799929
-64.50079858275052,39.97200717042014
-64.40698529181589,39.65404332520711
-64.30937818491999,39.425652006459984
-64.21409008380928,39.19642782285974
-64.14929216735247,38.95665487512092
-64.0844914516073,38.716853879074016
-64.01220644176941,38.47964565326508
-63.91460082165921,38.2512743108875
-63.82414473859055,38.02039490204286
-63.75934677226492,37.780599946686024
-63.69454589037834,37.54077749449062
-63.61743336669559,37.305254298923295
-63.519829404887986,37.07690317448838
-63.43420494184958,36.84435595501435
-63.36940675527758,36.6045390919123
-63.30460554390514,36.36469528187269
-63.22266614269798,36.13086926756477
-63.12506401472302,35.90253860357292
-63.04427062367931,35.66831093368125
-62.97947204864294,35.428472265219405
-62.91467034652245,35.18860719800157
-62.82790484654354,34.956490563691574
-62.730304732000505,34.72818060351717
-62.65434171396545,34.49225979133104
-62.58954258443093,34.25239942234417
-62.52474023240491,34.01251320091587
-62.43314955565738,33.78211819090124
-62.33555163827069,33.55382917873718
-62.26441814241012,33.31620248262705
-62.199618294551165,33.07632052033596
-62.134815135587864,32.83641324990673
-62.038400348117015,32.60775215186291
-61.94080481579191,32.379484332663004
-61.87449983855527,32.14013896360329
-61.80969911077484,31.900235517551405
-61.74124539718531,31.661613455160353
-61.64365730264606,31.433392448293162
-61.54938500093711,31.20396888266862
-61.48458673180573,30.964069191658822
-61.41978496475633,30.72414437364868
-61.346505819041454,30.487239080024466
-61.24892049860751,30.259039080931416
-61.15947814155997,30.027914631867066
-61.094678751451966,29.78799312555139
-61.02987578805461,29.548047049581342
-60.95177237043081,29.312870807320827
-60.854190015996465,29.084692049515247
-60.769576499371624,28.851853928296837
-60.704775826692604,28.611910725390903
-60.639962341729714,28.37190825289455
-60.55702680524659,28.138438234645044
-60.45943497818577,27.910231555832183
-60.379649977757595,27.67567082730374
-60.314920530304676,27.435984686044478
-60.250183340468766,27.19625365669798
-60.185438615812636,26.956480119376742
-60.111557237472766,26.72001013150016
-59.990100946730365,26.50089113846345
-59.946250027521984,26.341703891344128
-59.848868280282396,26.11425109304252
-59.751569048899434,25.886960404764352
-59.63016714896878,25.670166192507345
-59.51135648914166,25.452178997251593
-59.413915231477546,25.224609696459108
-59.27111197083279,25.017326134722865
-59.17372630920976,24.7898647296455
-59.031114855858085,24.58293846372277
-58.88854565100819,24.37607613849173
-58.792766898786454,24.238269554597988
-58.641475281937986,24.036195966390714
-58.46571729111979,23.847099717624346
-58.323279413901304,23.639739501327927
-58.1385766564694,23.45554266180452
-57.99607203779836,23.248064531360995
-57.81150123418788,23.063793600178602
-57.668900834178814,22.85617585457771
-57.484484371362974,22.671854363060643
-57.301545954744384,22.486898247604195
-57.157379087317345,22.279591849024442
-56.91745758899293,22.031125893121438
-56.83042884846469,21.887254808522997
-56.58974791431785,21.640393446611114
-56.4142885165255,21.450832268505394
-56.26203540722531,21.24934111053843
-56.0766098487111,21.065047149297687
-55.93436957422515,20.85805718506095
-55.74915052240444,20.673800623507272
-55.58279163589021,20.4795275217021
-55.42173519796902,20.282327771464907
-55.236897426824626,20.098124571339497
-55.09440701608176,19.89069011320716
-54.90970625386866,19.706423239912613
-54.75216631401429,19.50727622429253
-54.58261597529592,19.314576018811078
-54.398289408271786,19.13030602766999
-54.25546389698883,18.92242526688119
-54.016453455603774,18.67338398001044
-53.92840784832115,18.530142591622383
-53.68860193325876,18.282657382287912
-53.546470047202426,18.07598275439444
-53.360762700269426,17.891630847777577
-53.17513253299594,17.707218444438393
-53.03299181335307,17.50040089464631
