segment_id,s,ds,x,y,kappa,delta_kappa,width,d_left,d_right,delta_psi,psi,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_bd_idx,right_bd_idx
0,0.0,0.37815914980056325,43.76828926568888,-17.453810834934785,-3.3737754794384927,2.196322071934217,2.4136631213919797,1.2618286751556353,1.1518344462363441,-8.112304704075669,0.8438787248191463,-66.4912846866365,45.16376933023842,-64.0844346866365,44.96861933023841,0,0
1,0.37815914980056325,0.38426784096317584,43.945320976913194,-17.251239809228124,0.26211813245009624,2.1355556123314106,2.3776965439956133,1.188743572267741,1.1889529717278722,0.19090600247829945,0.8234805007001256,-66.2310846866365,43.981397213401365,-63.92074302890854,44.543582217864085,13,5
2,0.7624269907637391,0.3900922385611798,44.21653389537228,-16.97005633202299,0.0452751212391626,-0.15855659733486818,2.3503362078573753,1.1885136519444404,1.1618225559129352,0.5402624824538035,0.989430613807411,-65.9765392597307,43.1651736595076,-63.74929095372565,43.91683100289307,22,12
3,1.152519229324919,0.3939581948123849,44.384997556026086,-16.582145657582245,0.008267084868452994,-0.027100399800371166,2.358156982956505,1.18725327120337,1.1709037117531351,0.5028487480971402,1.2418381995770786,-65.7106846866365,42.35222361522278,-63.48607979593052,43.13603207152157,31,21
4,1.5464774241373038,0.3979157605486323,44.47320791502946,-16.218142993740447,0.001887050387236521,-0.005412910044941574,2.3470478684099008,1.17281253233981,1.1742353360700908,0.2972391140988096,1.3836893926743283,-65.45211186485436,41.62386743877566,-63.22210801558596,42.355881700198445,39,30
5,1.9443931846859361,0.41598538392040263,44.53236361191568,-15.803754859491976,-0.0003990501802930684,-0.000846202975535451,2.359453149120638,1.1823180359545435,1.177135113166094,0.24446257373137373,1.4772141125465077,-65.2223528115202,40.904572568170174,-62.95879717852436,41.57505392163321,47,39
6,2.3603785686063388,0.4413749114569705,44.55413725428012,-15.355874964581197,0.0005322690951487201,0.0004422341144011918,2.3548226627606335,1.1687025412669774,1.1861201214936563,0.2812895888649299,1.5826577612141393,-64.94061663332289,40.100378296559505,-62.718384686636504,40.880331710710166,56,47
7,2.8017534800633093,0.463770686635784,44.52149809575818,-14.887760537130362,0.0003089720345125928,-0.0007247011743804802,2.381625253229676,1.1958514008364174,1.1857738523932588,0.31848409019848595,1.7183806375423238,-64.72224864006894,39.35943748357075,-62.4581846866365,40.09862825280517,64,56
8,3.2655241666990933,0.4977153442754365,44.41582223890505,-14.425496021232934,-0.000627986330310489,-0.00016677256413255302,2.3708363111966113,1.186059745663789,1.1847765655328222,0.29820484544093045,1.8709322335198746,-64.44111210888529,38.54935070846476,-62.1979846866365,39.317204717885375,73,65
9,3.76323951097453,0.5511441353886317,44.23887393005551,-13.974553070321623,4.196712380860025e-05,0.0007288221342911242,2.3761866360544714,1.1871911194738016,1.1889955165806698,0.2170699849159566,2.005100430783818,-64.20478424218058,37.834998912591345,-61.96193025761645,38.620661974782,81,73
10,4.3143836463631615,0.6083764841048849,43.987521288719,-13.502116733115407,0.0005388668022636725,-0.000151177314422055,2.3699314640915485,1.1790486151483517,1.1908828489431966,0.13560938260518243,2.098608144949512,-63.9543346866365,37.108404902782105,-61.69972741060444,37.838975472477365,89,82
11,4.922760130468046,0.6974842638722771,43.66318076843693,-12.987054718292239,-0.00020006960176244436,-0.000563218097023696,2.378008980855362,1.186457439904489,1.1915515409508732,0.08499355550369496,2.1623423061113125,-63.68835991130909,36.28894615546566,-61.43755133686943,37.05642898853183,98,91
12,5.6202443943403235,0.8248142221608825,43.2587332965282,-12.417283109244801,-0.0003628522453799133,0.00025590466560404133,2.372348071456642,1.1802094800627525,1.1921385913938896,0.04899385275172745,2.2095978929128055,-63.44449949928742,35.576877074785315,-61.17621171445468,36.27401127074223,106,100
13,6.445058616501206,0.9456535470750991,42.753299792022624,-11.761927252186325,0.00020963689129137886,0.0003674558862926356,2.353571524802001,1.1798486374147734,1.1737228873872276,0.018382200777550112,2.2369255739801988,-63.17377304999941,34.765293599412416,-60.9620346866365,35.572780488831604,115,108
14,7.390712163576305,1.0272258168018062,42.16564603291464,-11.02653926543454,0.0002254491135249026,-0.0004171371098815866,2.3508454302342052,1.1773921675970331,1.173453262637172,0.00018591027200749377,2.2421429869170826,-62.92743645600682,34.03326548498651,-60.70184876784613,34.79051978769612,123,117
15,8.417937980378111,1.0349033202744984,41.5285652717276,-10.220311116200037,-0.0004582047129591261,-8.97357441516853e-05,2.358845560377512,1.1836463139087121,1.1751992464688001,-0.004339705217492326,2.237292352519375,-62.69421240416844,33.31557527546593,-60.43833681035522,34.00729115154299,131,126
16,9.45284130065261,1.028273316769896,40.889905845826966,-9.404629403909086,8.178109187636919e-05,0.0006574585022833188,2.353519190017632,1.1755149478745617,1.1780042421430705,-0.004115598956815808,2.2331939543417696,-62.41736305712807,32.50946646581392,-60.174547533228655,33.22344727459088,140,135
17,10.481114617422506,1.0286422596850393,40.25943691244563,-8.593127293209205,0.0005943943737480434,-0.0002574418347243943,2.391260304436162,1.1994461432388395,1.1918141611973225,-0.004532887140897034,2.2288011449042284,-62.19633591252611,31.769227601507872,-59.93002478375094,32.53211830148156,148,143
18,11.509756877107545,1.0283989208055093,39.63236367887375,-7.777612728636227,-0.0003303864277009208,-0.0006393379503433198,2.3781933690274526,1.1895788740592212,1.1886144949682316,-0.004643321835865669,2.223870188175346,-61.91519934528607,30.95973389911934,-59.671378686655686,31.74873010713485,157,152
19,12.538155797913054,1.0288677426439587,39.009373891205584,-6.959199065729065,-0.00042919348813439344,-0.0007469509210035317,2.3767945678278446,1.1898457525168606,1.1869488153109837,-0.004322792011673577,2.2192496406735818,-61.67772813800889,30.24585038128851,-59.41205651987576,30.964887830310666,165,161
20,13.567023540557013,1.029460730424045,38.38985735205782,-6.137917719126804,-0.0015262639690709482,-0.003966838203839435,2.3528238065346567,1.1713456495640628,1.181478156970594,-0.004179770962994216,2.2149770522767045,-61.4173846866365,29.52242663511976,-59.185568586221144,30.267261537885343,173,169
21,14.596484270981058,1.0300471466265257,37.77335015196802,-5.313498696711954,-0.00678014986937404,0.0015942920388845423,2.363534927591642,1.1810696497307336,1.1824652778609088,-0.004252270794705602,2.210646299089548,-61.15433770468373,28.701829121536697,-58.92314273314925,29.482731772254063,182,178
22,15.626531417607584,1.0308461476006308,37.160156428709115,-4.485783737472926,0.0010262170441736184,0.029712330590246954,2.3604294702212107,1.1736230894056596,1.1868063808155511,-0.004158226866656437,2.206219467079656,-60.91300130354529,27.988947039877395,-58.66172595062629,28.69855354357504,190,187
23,16.657377565208215,1.0316636092285023,36.55016314467584,-3.654836388153334,0.04078965405683324,0.050827546089165766,2.358972494124536,1.1856027928548323,1.1733697012697037,-0.0038079315477235203,2.2020766372241805,-60.66166329308141,27.15312657140233,-58.4250846866365,27.903136057470604,199,196
24,17.689041174436717,1.0322773921958124,35.94295761682621,-2.820845591340184,0.08240173870404448,0.037602320044596176,2.3638048717183553,1.1822637678503085,1.1815411038680466,-0.0035771153549237857,2.198365571109139,-60.376584686636505,26.35583659619526,-58.17372510586795,27.21322158857259,208,204
