segment_id,left_x0,left_y0,left_x1,left_y1,right_x1,right_y1,right_x0,right_y0
0,-64.73586387302144,47.82989014385347,-65.76320454923601,46.80254946763891,-63.6941346866365,43.843105084536525,-64.02061583714024,44.89877024627997
1,-65.76320454923601,46.80254946763891,-65.45211186485436,41.62386743877566,-63.22210801558596,42.355881700198445,-63.6941346866365,43.843105084536525
2,-65.45211186485436,41.62386743877566,-64.94061663332289,40.100378296559505,-62.718384686636504,40.880331710710166,-63.22210801558596,42.355881700198445
3,-64.94061663332289,40.100378296559505,-64.44111210888529,38.54935070846476,-62.1979846866365,39.317204717885375,-62.718384686636504,40.880331710710166
4,-64.44111210888529,38.54935070846476,-63.9543346866365,37.108404902782105,-61.69972741060444,37.838975472477365,-62.1979846866365,39.317204717885375
5,-63.9543346866365,37.108404902782105,-63.44449949928742,35.576877074785315,-61.17621171445468,36.27401127074223,-61.69972741060444,37.838975472477365
6,-63.44449949928742,35.576877074785315,-62.92743645600682,34.03326548498651,-60.70184876784613,34.79051978769612,-61.17621171445468,36.27401127074223
7,-62.92743645600682,34.03326548498651,-62.41736305712807,32.50946646581392,-60.174547533228655,33.22344727459088,-60.70184876784613,34.79051978769612
8,-62.41736305712807,32.50946646581392,-61.91519934528607,30.95973389911934,-59.671378686655686,31.74873010713485,-60.174547533228655,33.22344727459088
9,-61.91519934528607,30.95973389911934,-61.4173846866365,29.52242663511976,-59.151718395042195,30.179609653755637,-59.671378686655686,31.74873010713485
10,-61.4173846866365,29.52242663511976,-60.91300130354529,27.988947039877395,-58.66172595062629,28.69855354357504,-59.151718395042195,30.179609653755637
11,-60.91300130354529,27.988947039877395,-60.376584686636505,26.35583659619526,-58.229732174374,27.286190206431932,-58.66172595062629,28.69855354357504
12,-60.376584686636505,26.35583659619526,-59.606097907252746,24.801950691227,-57.57421166400564,25.954229550315556,-58.229732174374,27.286190206431932
13,-59.606097907252746,24.801950691227,-58.555906079978755,23.30769072358067,-56.69599783313136,24.759867106408706,-57.57421166400564,25.954229550315556
14,-58.555906079978755,23.30769072358067,-57.487224950511944,22.04385959411386,-55.73928583757929,23.613470481181203,-56.69599783313136,24.759867106408706
15,-57.487224950511944,22.04385959411386,-56.45147606082028,20.8780107044222,-54.68179391995603,22.425878563557948,-55.73928583757929,23.613470481181203
16,-56.45147606082028,20.8780107044222,-55.437136746246686,19.696273350905667,-53.663202213182494,21.212136856784415,-54.68179391995603,22.425878563557948
17,-55.437136746246686,19.696273350905667,-54.34656477655465,18.447849420156565,-52.60030951453459,20.019144158136505,-53.663202213182494,21.212136856784415
18,-54.34656477655465,18.447849420156565,-53.349235315246375,17.25536995884829,-51.515212940674566,18.73889758427648,-52.60030951453459,20.019144158136505
19,-53.349235315246375,17.25536995884829,-52.29141423224134,16.002398875843255,-50.49716676326262,17.525701406864542,-51.515212940674566,18.73889758427648
20,-52.29141423224134,16.002398875843255,-51.29864248194889,14.820355038348806,-49.47752313576407,16.310907779365987,-50.49716676326262,17.525701406864542
21,-51.29864248194889,14.820355038348806,-50.23385352423739,13.554538167839306,-48.45718379944325,15.095418443045164,-49.47752313576407,16.310907779365987
22,-50.23385352423739,13.554538167839306,-49.24714451355516,12.372679157157082,-47.437955272896254,13.881039916498176,-48.45718379944325,15.095418443045164
23,-49.24714451355516,12.372679157157082,-48.1802422908319,11.110626934433808,-46.35123735783248,12.599172001434397,-47.437955272896254,13.881039916498176
24,-48.1802422908319,11.110626934433808,-47.19184663154097,9.927081275142893,-45.347556840249155,11.3769107895871,-46.35123735783248,12.599172001434397
25,-47.19184663154097,9.927081275142893,-46.13025504845708,8.664124754187867,-44.35417803644707,10.146762680048989,-45.347556840249155,11.3769107895871
26,-46.13025504845708,8.664124754187867,-45.09554399250681,7.399264861955174,-43.32388014198981,8.93629220173628,-44.35417803644707,10.146762680048989
27,-45.09554399250681,7.399264861955174,-44.08456201653857,6.2254686290199635,-42.28975358410894,7.728194745519601,-43.32388014198981,8.93629220173628
28,-44.08456201653857,6.2254686290199635,-43.12439443672747,5.013979080329385,-39.300384686636505,1.9300135754969856,-42.28975358410894,7.728194745519601
29,-43.12439443672747,5.013979080329385,-42.23705523124602,3.867790099976848,-39.29644693073007,0.5523865035964229,-39.300384686636505,1.9300135754969856
30,-42.23705523124602,3.867790099976848,-41.8373346866365,2.6783400797815062,-39.54447400741218,3.192425076863399,-39.29644693073007,0.5523865035964229
31,-41.8373346866365,2.6783400797815062,-41.642184686636504,1.2491495055435848,-39.23912292892812,1.386104047160817,-39.54447400741218,3.192425076863399
32,-41.642184686636504,1.2491495055435848,-41.72393866486536,-0.1053248297365605,-39.37365792567673,-0.4699327558066904,-39.23912292892812,1.386104047160817
33,-41.72393866486536,-0.1053248297365605,-42.07289123941553,-1.3834769910675475,-39.88583468663651,-2.322350270736244,-39.37365792567673,-0.4699327558066904
34,-42.07289123941553,-1.3834769910675475,-42.49826974808217,-2.45462843675321,-39.48572531339861,-0.9154496256393392,-39.88583468663651,-2.322350270736244
35,-42.49826974808217,-2.45462843675321,-43.732111707633706,-3.905354438550811,-40.58516256168417,-3.8190268883357383,-39.48572531339861,-0.9154496256393392
36,-43.732111707633706,-3.905354438550811,-45.07418194141171,-3.7753297881494374,-40.456286133018395,-3.5702406485016636,-40.58516256168417,-3.8190268883357383
37,-45.07418194141171,-3.7753297881494374,-46.24169367218035,-2.533618097341067,-42.12033848305075,-5.664405780832198,-40.456286133018395,-3.5702406485016636
38,-46.24169367218035,-2.533618097341067,-45.01098005612849,0.7265283849568731,-48.53749189963591,-3.3464471615730043,-42.12033848305075,-5.664405780832198
39,-45.01098005612849,0.7265283849568731,-45.092597039786654,2.512257050057546,-48.535393900415386,-1.681458452916972,-48.53749189963591,-3.3464471615730043
40,-45.092597039786654,2.512257050057546,-45.78129465963623,3.7678793032381495,-48.00117657729046,-0.2227618766930875,-48.535393900415386,-1.681458452916972
41,-45.78129465963623,3.7678793032381495,-47.72325121203927,5.187827844052779,-47.3015346866365,1.2990829272447897,-48.00117657729046,-0.2227618766930875
42,-47.72325121203927,5.187827844052779,-50.79490490414297,5.8351354329946155,-48.601643324749,-2.0472530325301075,-47.3015346866365,1.2990829272447897
43,-50.79490490414297,5.8351354329946155,-53.30972717221391,5.024168817989938,-48.6025346866365,-2.6147693198010415,-48.601643324749,-2.0472530325301075
44,-53.30972717221391,5.024168817989938,-50.409858079257646,5.873569330238418,-48.34294210755851,-1.0810415085039329,-48.6025346866365,-2.6147693198010415
45,-50.409858079257646,5.873569330238418,-52.640580106277,5.410886836415373,-52.52926782612064,2.6623861907542876,-48.34294210755851,-1.0810415085039329
46,-52.640580106277,5.410886836415373,-54.21194477331005,4.297259243564876,-53.43852845546179,1.374017463383265,-52.52926782612064,2.6623861907542876
47,-54.21194477331005,4.297259243564876,-55.30371157545147,2.833550620359795,-53.9366346866365,-0.1741599672221312,-53.43852845546179,1.374017463383265
48,-55.30371157545147,2.833550620359795,-56.05608360384562,1.0924786883370388,-54.06673468663651,-1.7546197512248582,-53.9366346866365,-0.1741599672221312
49,-56.05608360384562,1.0924786883370388,-56.46650364573779,-0.9779588820548664,-53.9366346866365,-3.410640002891192,-54.06673468663651,-1.7546197512248582
50,-56.46650364573779,-0.9779588820548664,-56.4085346866365,-3.1220122442125913,-53.44888790059659,-4.891600725677168,-53.9366346866365,-3.410640002891192
51,-56.4085346866365,-3.1220122442125913,-55.99989973264499,-4.8812043743462254,-52.44191561205545,-6.2242997443426225,-53.44888790059659,-4.891600725677168
52,-55.99989973264499,-4.8812043743462254,-55.32438296306639,-6.351262379603832,-51.22483828559571,-7.24622707080238,-52.44191561205545,-6.2242997443426225
53,-55.32438296306639,-6.351262379603832,-54.329795014139734,-7.65397034225835,-49.745934871532945,-8.005666853937859,-51.22483828559571,-7.24622707080238
54,-54.329795014139734,-7.65397034225835,-53.19235413493523,-8.72636122146284,-48.25795337623945,-8.44266273002582,-49.745934871532945,-8.005666853937859
55,-53.19235413493523,-8.72636122146284,-51.662361224895605,-9.72159023870434,-46.62011859124627,-8.69763066976158,-48.25795337623945,-8.44266273002582
56,-51.662361224895605,-9.72159023870434,-49.897771724204034,-10.459341432489206,-45.141055754617064,-8.58133088503445,-46.62011859124627,-8.69763066976158
57,-49.897771724204034,-10.459341432489206,-49.17179680771176,-10.665958528814,-43.61489338726975,-8.24228066976158,-45.141055754617064,-8.58133088503445
58,-49.17179680771176,-10.665958528814,-49.17179680771176,-10.665958528814,-42.09452132870844,-7.91703066976158,-43.61489338726975,-8.24228066976158
59,-49.17179680771176,-10.665958528814,-40.37501167608651,-9.960173756190963,-40.47998239429113,-7.550781314586171,-42.09452132870844,-7.91703066976158
60,-40.37501167608651,-9.960173756190963,-38.69196054766997,-9.608330669761578,-38.955722201318366,-7.212933321313095,-40.47998239429113,-7.550781314586171
61,-38.69196054766997,-9.608330669761578,-37.12315646165953,-9.227826235323771,-37.428403126517985,-6.876230669761579,-38.955722201318366,-7.212933321313095
62,-37.12315646165953,-9.227826235323771,-35.45649253901909,-8.86962526802541,-35.81427064514543,-6.541277233423021,-37.428403126517985,-6.876230669761579
63,-35.45649253901909,-8.86962526802541,-33.86510159402011,-8.537327581429631,-34.20510188335507,-6.164590159132201,-35.81427064514543,-6.541277233423021
