x,y
-64.48185786321704,45.20909943851787
-64.27552696574536,45.48929091088328
-64.04488223810748,45.834014253586446
-63.8651408661051,46.01379628893074
-63.53838961481147,46.288133909092
-63.22603380752414,46.40707103944129
-62.89736355032958,46.340663535976205
-62.593976113218574,46.20767866606653
-62.315640186706375,46.03127511497508
-62.1131790429517,45.894183817543876
-61.911510429519815,45.75558267946052
-61.73015623065074,45.575907853879606
-61.53169134309914,45.4313289570059
-61.34742840247989,45.25782361497977
-61.145068976017086,45.12080488109517
-60.94644187009601,44.97609759454852
-60.76202749732851,44.80251155899304
-60.559642437720576,44.66547589449715
-60.36102302455237,44.520753147038306
-60.17660087311966,44.34718248721537
-59.9097517348729,44.156735397458284
-59.72999014789023,43.97700929722509
-59.52653703587341,43.83858539617718
-59.34682504595522,43.658894868701154
-59.167071742398704,43.47911129092351
-58.98409767402406,43.30487223739366
-58.78393384712566,43.16100474604542
-58.64542904211669,42.957489019689845
-58.46573905885576,42.77774027428723
-58.28614387060626,42.5980304650611
-58.1474631863327,42.394616933491136
-57.96798755788565,42.21478602747513
-57.73240713722163,41.9707073487448
-57.65030010327,41.83197847747711
-57.41450835659118,41.58817960765399
-57.33261530893097,41.449164112683555
-57.096615693788834,41.205647661962644
-56.95959740645065,41.003344676809775
-56.77864556843489,40.822995010939714
-56.641445079954245,40.620443164464774
-56.50426864303724,40.41791801827588
-56.3426821776438,40.22771801568376
-56.21154623159802,40.02212941466446
-56.0804823999153,39.81663014537771
-55.94946447912712,39.611184865620515
-55.818716412568975,39.40566818045916
-55.68748703049642,39.20034565192842
-55.58863615027345,38.97890718470055
-55.45160467095514,38.77652823758507
-55.35706565292103,38.553231408751145
-55.221739266328505,38.34992419347076
-55.09513848109851,38.14228825611611
-54.99199414167308,37.92337313559543
-54.85486672553669,37.72077968666234
-54.76236535653667,37.49687698053408
-54.625217257529094,37.29421632304273
-54.503290639453795,37.08430288489212
-54.395655293220074,36.86766398300033
-54.25848175958568,36.66491450587769
-54.16621390015,36.441185415064666
-54.0289938801911,36.238315184324335
-53.911787205700755,36.02616820806338
-53.799594579590526,35.811734945010386
-53.66238358679244,35.6088252480021
-53.57034142686435,35.385287859793095
-53.43306210482773,35.18220398789855
-53.32064016700612,34.96791587703497
-53.20382789285642,34.75560656995162
-53.066509740418745,34.552375723763056
-52.97467947878794,34.32903532158777
-52.83734871925965,34.12572205309166
-52.72976357094281,33.90937878166756
-52.60827479445817,33.699098812500225
-52.47091217750038,33.49563108258267
-52.37928622197432,33.27250813588643
-52.27025916620506,33.0569171237809
-52.139218982544804,32.8506663978804
-52.0130089910281,32.642325615073474
-51.9614063695374,32.49164892476007
-51.82437964920226,32.289315116340596
-51.719231908867854,32.071218355185636
-51.58832214775716,31.865896881068952
-51.457460720754106,31.660509553953027
-51.3646573657093,31.436395415796593
-51.22760263642836,31.233963834612485
-51.12721514244877,31.013662120376285
-50.997832613800014,30.807421640544668
-50.86528186123235,30.602664402834016
-50.768150052772235,30.380885859129446
-50.631004393510814,30.178241453954406
-50.5354467496316,29.95582459710476
-50.40137816570852,29.7516285869806
-50.27345735460119,29.544536079326438
-50.17187121842172,29.32508165178772
-50.034649615108044,29.12222226962806
-49.94243473592652,28.898522057547446
-49.81297152762493,28.692009372055587
-49.681934737859635,28.486166416297387
-49.57581797337528,28.26895134753015
-49.43852833650441,28.065861494033033
-49.34660412793542,27.842482886404902
-49.22185325855175,27.63372143314388
-49.090883701503046,27.427880034991695
-48.9801848431585,27.212852454192785
