x_m,y_m,s_m,kappa_radpm,vx_mps
-64.81004383995484,44.99460449122875,0.0,0.3354802471645186,3.1262894461029904
-64.8264386995543,44.89660734543897,0.09999732182485639,0.32353641842944525,3.148916037915113
-64.83962883602376,44.798299202049954,0.19999464364971278,0.3113238860034423,3.173607628315563
-64.84974227911798,44.69980441835509,0.2999919654745692,0.2989107477393259,3.200368918590929
-64.85688898272112,44.60123363218204,0.39998928729942557,0.28634547986773595,3.229195684703343
-64.86131810465193,44.5016202348862,0.49998660912428194,0.27367174066066496,3.260081394929638
-64.86305630078095,44.40103090710144,0.5999839309491384,0.2609520566902375,3.2930186498070904
-64.86220245227781,44.30026321685258,0.6999812527739947,0.248245493078469,3.327992736433472
-64.85887071602903,44.19965885893776,0.7999785745988511,0.23561377535103498,3.3649824829080055
-64.85318429939616,44.09929676067141,0.8999758964237076,0.22311739421989712,3.4039588573500636
-64.84529466786245,43.99925555638283,0.9999732182485639,0.21081234618791267,3.444884695304585
-64.8353815450328,43.89961358741624,1.0999705400734203,0.19873257918285933,3.4877153493445596
-64.82365291263388,43.80044890213077,1.1999678618982768,0.1869063262461104,3.5324052236068404
-64.81034501051391,43.7018392559004,1.2999651837231332,0.17534422157029936,3.578908566490338
-64.79565011134386,43.60313122372316,1.3999625055479894,0.1640551529753546,3.6271844737295917
-64.7797734701994,43.504126960838555,1.4999598273728458,0.15305705196485203,3.6771963480532013
-64.7629395498029,43.40489109698476,1.5999571491977023,0.14236872842573142,3.7289075467302424
-64.74539955850486,43.30564403967513,1.6999544710225587,0.13201305862493593,3.7822800224873827
-64.7273577684997,43.20647999252092,1.7999517928474151,0.12202418497870168,3.8372717872984303
-64.7089774005215,43.10744551880317,1.8999491146722713,0.1124362186612993,3.8938316121249827
-64.69038772978577,43.0085772625494,1.9999464364971278,0.10327415660336642,3.9518978915200487
-64.67168408598933,42.909901948533594,2.0999437583219844,0.09456205506239193,4.011400974190418
-64.6529278533104,42.81143638227619,2.1999410801468406,0.08631636190700293,4.072262342409102
-64.63414647040858,42.71318745004409,2.299938401971697,0.07854790835742481,4.134396458387925
-64.61530668479669,42.61499634107548,2.3999357237965535,0.07126079241907639,4.197711920122697
-64.59638823462495,42.51682052925712,2.4999330456214097,0.06445427861978718,4.2621132010910605
-64.5773779639854,42.41865520955241,2.5999303674462664,0.05812833620740411,4.327501763494609
-64.55826621177822,42.320511421729286,2.6999276892711226,0.05228268396467505,4.393774969997478
-64.53904485204566,42.22239064368349,2.799925011095979,0.0469147065070092,4.460825462838084
-64.51970985558242,42.12428979006478,2.8999223329208355,0.04202174393269174,4.528541527112911
-64.50026240184403,42.02620676141995,2.9999196547456917,0.037599499184350196,4.596806548183982
-64.48070887894683,41.92814044419283,3.0999169765705483,0.03363682640668578,4.665499257122254
-64.46106088366813,41.83009071072428,3.1999142983954045,0.03012014119421939,4.734496476403126
-64.441335221446,41.73205841925221,3.2999116202202607,0.027027138845432494,4.803674045457393
-64.42155041157118,41.63402956910702,3.3999089420451174,0.024335583034651366,4.87291086086773
-64.40172864685321,41.53600070738836,3.4999062638699736,0.022025023458063887,4.942088995001533
-64.38189323201013,41.43797393033889,3.5999035856948303,0.02007587621735399,5.011093059202664
