segment_id,kappa,delta_kappa,delta_psi,d_left,d_right,d_inner,left_bd_idx,right_bd_idx,s_m,x_m,y_m
0,0.3354802471645186,-0.09959278459605592,0.18122674327887456,1.217363924264002,0.37331088071491686,0.37331088071491686,1,1999,0.0,-64.81004383995484,44.99460449122875
1,0.23588746256846266,-0.09305557345603599,0.06501699893904922,0.9632910862223347,0.6112021880231518,0.6112021880231518,6,1997,0.7978119659593125,-64.85894290364776,44.20183862002592
2,0.14283188911242667,-0.0710974341573577,0.009325299419793431,0.8463047875980497,0.73162762180957,0.73162762180957,10,1994,1.595623931918625,-64.76366901968674,43.40919131775176
3,0.07173445495506897,-0.04130953437576923,0.00518246341798001,0.7269973176132671,0.8578434457615582,0.8578434457615582,13,1991,2.3934358978779375,-64.61653127086147,42.62137876315844
4,0.030424920579299738,-0.014787717968563374,-0.000299988437517662,0.6033082762656647,0.9421833072717661,0.9421833072717661,16,1987,3.19124786383725,-64.46276370992561,41.83858835429155
5,0.015637202610736364,0.001969184984552154,0.01098073720157533,0.5414743802881177,1.068748447366319,1.068748447366319,19,1984,3.9890598297965623,-64.30489956094789,41.05639779822916
6,0.017606387595288518,0.006591580403054905,0.021849010565161642,0.42299014590904294,1.1358670296305267,1.1358670296305267,22,1981,4.786871795755875,-64.14729502999454,40.274283798087886
7,0.024197967998343423,0.005255024365361266,0.03109658524869996,0.3352956729557682,1.2468293992921107,1.2468293992921107,25,1977,5.584683761715187,-63.98109828564229,39.49388320191399
8,0.02945299236370469,0.001829474479517576,0.03367321104700194,0.286597825284099,1.2878294315663945,1.2878294315663945,28,1974,6.3824957276745,-63.797893989296874,38.717310009313486
9,0.031282466843222265,-0.0018817175462770633,0.024636729118731715,0.23702148021442257,1.365122212473413,1.365122212473413,32,1970,7.180307693633813,-63.590733106388356,37.94717909833083
10,0.0294007492969452,-0.004066133428130593,0.017151497674390725,0.19445838285964887,1.3591188874893754,1.3591188874893754,35,1968,7.9781196595931245,-63.35770866989371,37.18428534223194
11,0.02533461586881461,-0.0040327145292549695,0.013053784631867682,0.20829572219872833,1.3775123433954992,1.3775123433954992,38,1964,8.775931625552436,-63.10594198672659,36.42730437814037
12,0.02130190133955964,-0.0023018786267066,0.012691597330600324,0.20314879869097963,1.354135504036269,1.354135504036269,41,1961,9.57374359151175,-62.84122342689768,35.67473512925028
13,0.01900002271285304,-0.0005536858912998273,0.014717804387945677,0.2564591004825868,1.3386872733285755,1.3386872733285755,45,1957,10.371555557471062,-62.566700940869545,34.9256776155146
14,0.01844633682155321,-0.00025061011973454006,0.01640151400215739,0.29443573325745687,1.3101684719344284,1.3101684719344284,48,1954,11.169367523430374,-62.28269185229878,34.18015860856802
15,0.01819572670181867,-0.0016053972031857926,0.016267580171607676,0.30266271646558457,1.251318049700047,1.251318049700047,51,1950,11.967179489389688,-61.987742126106895,33.43890171628767
16,0.01659032949863288,-0.003914660748418543,0.013994640215821974,0.3700779213948892,1.2138704204314146,1.2138704204314146,54,1948,12.764991455349,-61.68068458431837,32.702605197327536
17,0.012675668750214336,-0.005797556107819431,0.0075175673427834155,0.4536272570495583,1.1146436993621986,1.1146436993621986,57,1944,13.562803421308312,-61.361687987662535,31.97139535106695
