segment_id,s,ds,x,y,kappa,delta_kappa,width,d_left,d_right,delta_psi,psi,center_x,center_y,center_s,raceline_s,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_boundary_source,right_boundary_source,left_bd_idx,right_bd_idx
0,0.0,0.009581018111789418,-64.81004383995484,44.99460449122875,-257.2920188710078,9228.431189423649,6.010065215035336,4.3029332320367635,1.7071319829985727,-268.8539721429476,-1.7720113465669423,-65.1252346866365,45.03366933023841,0.0,0.0,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
1,0.009581018111789418,0.009581018111789418,-64.81156651140208,44.985503013116094,5.851823455608378,13427.175268273977,5.79043471734113,4.082858877531504,1.7075758398096255,1.9085754912071793,-1.7365605327752192,-65.1252346866365,45.02408831212662,0.009581018111789418,0.0092872443230685,-60.7812189665438,44.332453610145706,-66.4912846866365,45.29386933023842,inner,outer,17,0
2,0.019162036223578836,0.009581018111789415,-64.81308918284931,44.97640153500344,0.0,-305.3863058878746,5.79043471734113,4.082858877531504,1.7075758398096252,0.0,-1.7365605327752192,-65.1252346866365,45.014507294014834,0.019162036223578836,0.018574488646137,-60.7812189665438,44.332453610145706,-66.4912846866365,45.29386933023842,inner,outer,17,0
3,0.02874305433536825,0.009581018111789422,-64.81461185429654,44.967300056890785,0.0,0.0,5.79043471734113,4.082858877531504,1.7075758398096252,0.0,-1.7365605327752192,-65.1252346866365,45.004926275903046,0.02874305433536825,0.0278617329692055,-60.7812189665438,44.332453610145706,-66.4912846866365,45.29386933023842,inner,outer,17,0
4,0.03832407244715767,0.009581018111789415,-64.81613452574378,44.95819857877813,0.0,0.0,5.79043471734113,4.082858877531504,1.7075758398096252,0.0,-1.7365605327752192,-65.1252346866365,44.99534525779125,0.03832407244715767,0.037148977292274,-60.7812189665438,44.332453610145706,-66.4912846866365,45.29386933023842,inner,outer,17,0
5,0.04790509055894709,0.009581018111789415,-64.81765719719101,44.949097100665476,0.0,0.0,6.009737090466715,4.30216125065709,1.7075758398096255,0.0,-1.7365605327752192,-65.1252346866365,44.98576423967946,0.04790509055894709,0.046436221615342506,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
6,0.0574861086707365,0.009581018111789422,-64.81917986863824,44.93999562255282,0.0,0.0,6.0097370904667144,4.30216125065709,1.7075758398096252,0.0,-1.7365605327752192,-65.1252346866365,44.97618322156767,0.0574861086707365,0.055723465938411,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
7,0.06706712678252592,0.009581018111789422,-64.82070254008548,44.93089414444017,0.0,0.0,6.0097370904667144,4.30216125065709,1.7075758398096252,-1.9365930703743018e-11,-1.7365605327752192,-65.1252346866365,44.966602203455885,0.06706712678252592,0.0650107102614795,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
8,0.07664814489431535,0.01155632017428479,-64.82222521153271,44.92179266632751,0.0,0.0,6.009737090466755,4.302161250657098,1.707575839809658,-2.7634709158860225e-12,-1.7365605327755789,-65.1252346866365,44.9570211853441,0.07664814489431535,0.074297954584548,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
9,0.08820446506860014,0.014403600056574928,-64.82406180953923,44.91081475209106,0.0,0.0,6.0097370904667216,4.302161250657098,1.707575839809624,0.6183346095256528,-1.7365605327752758,-65.1252346866365,44.94546486516981,0.08820446506860014,0.08549993413222506,-60.58303249993074,44.18801933023842,-66.4912846866365,45.29386933023842,inner,outer,18,0
